RUN: 61 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 41
RUN: 62 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.7 % | C: 41
RUN: 63 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 41
RUN: 64 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 41
RUN: 65 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.7 % | C: 40
RUN: 66 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 24.7 % | C: 40
RUN: 67 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 40
RUN: 68 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 40
RUN: 69 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.9 % | C: 40
RUN: 70 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 40
RUN: 71 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 40
RUN: 72 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.9 % | C: 40
RUN: 73 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.0 % | C: 40
RUN: 74 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.9 % | C: 40
RUN: 75 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 40
RUN: 76 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.9 % | C: 40
RUN: 77 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 25.3 % | C: 40
RUN: 78 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.1 % | C: 40
RUN: 79 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.2 % | C: 40
RUN: 80 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.2 % | C: 40
RUN: 81 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.2 % | C: 40
RUN: 82 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.2 % | C: 40
RUN: 83 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 40
RUN: 84 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.3 % | C: 40
RUN: 85 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 40
RUN: 86 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.2 % | C: 40
RUN: 87 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 40
RUN: 88 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 40
RUN: 89 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 40
RUN: 90 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 40
RUN: 91 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 40
RUN: 92 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.4 % | C: 40
RUN: 93 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 40
RUN: 94 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 40
RUN: 95 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 96 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 39
RUN: 97 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 39
RUN: 98 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 39
RUN: 99 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 100 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 101 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 102 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 103 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 104 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 25.7 % | C: 39
RUN: 105 s | Fan: 1320 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 106 s | Fan: 1320 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 107 s | Fan: 1500 RPM | Pump: 0.0 Hz | Heater: 25.8 % | C: 39
RUN: 108 s | Fan: 1560 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 109 s | Fan: 1620 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 39
RUN: 110 s | Fan: 1680 RPM | Pump: 2.3 Hz | Heater: 25.9 % | C: 39
RUN: 111 s | Fan: 1620 RPM | Pump: 2.3 Hz | Heater: 25.7 % | C: 39
RUN: 112 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.3 % | C: 39
RUN: 113 s | Fan: 1620 RPM | Pump: 1.2 Hz | Heater: 26.1 % | C: 39
RUN: 114 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.0 % | C: 39
RUN: 115 s | Fan: 1740 RPM | Pump: 1.2 Hz | Heater: 26.5 % | C: 39
RUN: 116 s | Fan: 1560 RPM | Pump: 1.2 Hz | Heater: 26.6 % | C: 39
RUN: 117 s | Fan: 1680 RPM | Pump: 1.2 Hz | Heater: 26.6 % | C: 39
