RUN: 0 s | Fan: 0 RPM | Pump: 0.0 Hz | Heater: OFF | C: 60
RUN: 0 s | Fan: 0 RPM | Pump: 0.0 Hz | Heater: OFF | C: 60
RUN: 0 s | Fan: 2400 RPM | Pump: 0.0 Hz | Heater: OFF | C: 60
RUN: 1 s | Fan: 2580 RPM | Pump: 0.0 Hz | Heater: OFF | C: 60
RUN: 2 s | Fan: 1980 RPM | Pump: 0.0 Hz | Heater: OFF | C: 60
RUN: 3 s | Fan: 1620 RPM | Pump: 0.0 Hz | Heater: OFF | C: 60
RUN: 4 s | Fan: 2100 RPM | Pump: 0.0 Hz | Heater: 3.2 % | C: 60
RUN: 5 s | Fan: 1800 RPM | Pump: 0.0 Hz | Heater: 5.4 % | C: 60
RUN: 6 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 6.8 % | C: 59
RUN: 7 s | Fan: 1380 RPM | Pump: 0.0 Hz | Heater: 8.0 % | C: 59
RUN: 8 s | Fan: 1320 RPM | Pump: 0.0 Hz | Heater: 8.7 % | C: 59
RUN: 9 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 9.2 % | C: 58
RUN: 10 s | Fan: 1320 RPM | Pump: 0.0 Hz | Heater: 9.7 % | C: 58
RUN: 11 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 10.4 % | C: 57
RUN: 12 s | Fan: 1260 RPM | Pump: 0.0 Hz | Heater: 10.4 % | C: 57
RUN: 13 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 11.2 % | C: 56
RUN: 14 s | Fan: 1140 RPM | Pump: 0.0 Hz | Heater: 11.9 % | C: 56
RUN: 15 s | Fan: 1200 RPM | Pump: 0.0 Hz | Heater: 12.4 % | C: 56
RUN: 16 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 13.5 % | C: 56
RUN: 17 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 14.3 % | C: 55
RUN: 18 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 15.1 % | C: 55
RUN: 19 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 15.9 % | C: 55
RUN: 20 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 16.9 % | C: 55
RUN: 21 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 17.6 % | C: 54
RUN: 22 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 18.9 % | C: 54
RUN: 23 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 20.0 % | C: 54
RUN: 24 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 21.1 % | C: 54
RUN: 25 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 22.3 % | C: 53
RUN: 26 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 23.1 % | C: 53
RUN: 27 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 23.9 % | C: 53
RUN: 28 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 24.4 % | C: 53
RUN: 29 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 24.8 % | C: 53
RUN: 30 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 24.9 % | C: 53
RUN: 31 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 53
RUN: 32 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.8 % | C: 52
RUN: 33 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 34 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.8 % | C: 52
RUN: 35 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.7 % | C: 52
RUN: 36 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 37 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 38 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 39 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 40 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 41 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 42 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 43 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.5 % | C: 52
RUN: 44 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 45 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 46 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 47 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.6 % | C: 52
RUN: 48 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 25.8 % | C: 52
RUN: 49 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.7 % | C: 52
RUN: 50 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 25.8 % | C: 52
RUN: 51 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 25.9 % | C: 52
RUN: 52 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.2 % | C: 52
RUN: 53 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 26.0 % | C: 52
RUN: 54 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.0 % | C: 52
RUN: 55 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 26.3 % | C: 52
RUN: 56 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 26.3 % | C: 52
RUN: 57 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.2 % | C: 52
RUN: 58 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.3 % | C: 52
RUN: 59 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.3 % | C: 52
RUN: 60 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.3 % | C: 52
RUN: 61 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 26.3 % | C: 52
RUN: 62 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.3 % | C: 52
RUN: 63 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.4 % | C: 52
RUN: 64 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 26.4 % | C: 52
RUN: 65 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 26.7 % | C: 52
RUN: 66 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.8 % | C: 52
RUN: 67 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 26.9 % | C: 51
RUN: 68 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.8 % | C: 51
RUN: 69 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.5 % | C: 51
RUN: 70 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.5 % | C: 51
RUN: 71 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.5 % | C: 51
RUN: 72 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.5 % | C: 51
RUN: 73 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 26.4 % | C: 51
RUN: 74 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.5 % | C: 51
RUN: 75 s | Fan: 1080 RPM | Pump: 0.0 Hz | Heater: 26.6 % | C: 51
RUN: 76 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 26.4 % | C: 51
RUN: 77 s | Fan: 900 RPM | Pump: 0.0 Hz | Heater: 26.6 % | C: 51
RUN: 78 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 27.0 % | C: 51
RUN: 79 s | Fan: 1020 RPM | Pump: 0.0 Hz | Heater: 26.8 % | C: 51
RUN: 80 s | Fan: 960 RPM | Pump: 0.0 Hz | Heater: 26.9 % | C: 51
